Description,Manufacturer
Trinsic Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Hardware Lattimore Shower System with Rainfall Shower Head and Hand Shower - Rough In Included,Signature
"Standard Spectra Versa Shower System with Shower Head, Hand Shower, Slide Bar, Hose and Aqua Toggle Technology",American
Purist Shower Only Trim Package with 2.5 GPM Single Function Shower Head with MasterClean and Rite-Temp Technologies,Kohler
Gibson Posi-Temp Pressure Balanced Tub and Shower Trim Package with Single Function Showerhead and Single Lever Valve Trim - Less Rough In Valve,Moen
Genta LX 1.75 GPM Pressure Balanced Shower Trim Package with Multi Function Shower Head - Less Valve,Moen
Engage 2.5 GPM Multi-Function Handshower and Rainshower Combo with Magnetix Technology,Moen
Purist 2.5 GPM Multi Function Shower Head,Kohler
"Hardware Hinson 10"" Rainfall Shower System with Hand Shower",Signature
Compel 1.75 GPM Single Function Hand Shower Package - Includes Hose and Holder,Delta
"1.75 GPM Compel Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Trinsic Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
"1.75 GPM Vero Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Universal Showering 1.75 GPM Multi Function Hand Shower Package with H2Okinetic Technology - Includes Slide Bar and Hose,Delta
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Shower Only with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Ashlyn Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Gibson Single Function Shower Head and Pressure Balanced Valve Trim with Single Lever Handle,Moen
2.5 GPM Hand Shower Package with Touch-Clean® Technology - Limited Lifetime Warranty,Delta
"Monitor 14 Series Single Function Pressure Balanced Shower System with Shower Head, and Hand Shower - Includes Rough-In Valves",Delta
Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with Integrated Volume Control - Less Rough-In Valve,Delta
"1.75 GPM Dryden Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Ashlyn Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Pivotal Tempassure 17T Series Dual Function Thermostatic Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Multi Function Hand Shower with Slide Bar - Includes Hose,Moen
Purist 2.5 GPM Multi Function Hand Shower with MasterClean and Katalyst,Kohler
Vero Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Tempassure 17T Series Dual Function Thermostatic Shower Only with H2Okinetic Shower Head and Integrated Volume Control - Less Rough-In Valve,Delta
Zura 1.75 GPM Multi Function Hand Shower Package with Touch-Clean and H2Okinetic® Technologies - Includes Slide Bar and Hose,Delta
Gibson Single Function Pressure Balanced Valve Trim Only with Single Lever Handle and Integrated Diverter - Less Rough In,Moen
Purist 2.5 GPM Multi Function Shower Head with MasterClean and Katalyst Air-Induction Spray Technology,Kohler
Devonshire Rite-Temp Pressure-Balancing Shower Faucet Trim with Lever Handle,Kohler
"Monitor 17 Series Dual Function Pressure Balanced Shower System with Integrated Volume Control, Shower Head, and Hand Shower - Includes Rough-In Valves",Delta
Genta LX Tub and Shower Trim Package with Multi Function Shower Head - Less Valve,Moen
Single Function Hand Shower Package with Hose and Slide Bar Included,Moen
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Purist 1.75 GPM Single Function Shower Head with MasterClean and Katalyst Air-Induction Spray Technology,Kohler
Pivotal Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Universal Showering 2.5 GPM Single Function Rain Shower Head,Delta
Single Handle Posi-Temp Pressure Balanced Shower Trim without Shower Head from the Chateau Collection (Less Valve),Moen
Kayra Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Dryden Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Bancroft 2.5 GPM Multi Function Hand Shower,Kohler
"Euphoria Cosmopolitan 7"" Rain Shower Head with DreamSpray Technology - 2.5 GPM",Grohe
Multi-Function Hand Shower Package with Hose and Slide Bar Included,Moen
Awaken 1.75 GPM Rain Shower Head with MasterClean Spray face,Kohler
Nicoli Single Function Pressure Balanced Tub and Shower with Included Rough-In Valve,Delta
