Description,Manufacturer
Compel 1.75 GPM Single Function Hand Shower Package - Includes Hose and Holder,Delta
Trinsic Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
"1.75 GPM Compel Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Trinsic Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
"1.75 GPM Vero Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Universal Showering 1.75 GPM Multi Function Hand Shower Package with H2Okinetic Technology - Includes Slide Bar and Hose,Delta
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Shower Only with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Ashlyn Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Gibson Single Function Shower Head and Pressure Balanced Valve Trim with Single Lever Handle,Moen
Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with Integrated Volume Control - Less Rough-In Valve,Delta
"1.75 GPM Dryden Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
Ashlyn Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Multi Function Hand Shower with Slide Bar - Includes Hose,Moen
Trinsic Tempassure 17T Series Dual Function Thermostatic Shower Only with H2Okinetic Shower Head and Integrated Volume Control - Less Rough-In Valve,Delta
Genta LX 1.75 GPM Pressure Balanced Shower Trim Package with Multi Function Shower Head - Less Valve,Moen
Zura 1.75 GPM Multi Function Hand Shower Package with Touch-Clean and H2Okinetic® Technologies - Includes Slide Bar and Hose,Delta
"Monitor 17 Series Dual Function Pressure Balanced Shower System with Integrated Volume Control, Shower Head, and Hand Shower - Includes Rough-In Valves",Delta
Genta LX Tub and Shower Trim Package with Multi Function Shower Head - Less Valve,Moen
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Hardware Lattimore Shower System with Rainfall Shower Head and Hand Shower - Rough In Included,Signature
Purist 1.75 GPM Single Function Shower Head with MasterClean and Katalyst Air-Induction Spray Technology,Kohler
Pivotal Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Gibson Posi-Temp Pressure Balanced Tub and Shower Trim Package with Single Function Showerhead and Single Lever Valve Trim - Less Rough In Valve,Moen
Kayra Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Awaken 1.75 GPM Rain Shower Head with MasterClean Spray face,Kohler
Nicoli Single Function Pressure Balanced Tub and Shower with Included Rough-In Valve,Delta
Tempered Tub and Shower Trim Package with 1.75 GPM Single Function Shower Head - Less Rough In,Kohler
"Tempesta Cosmopolitan 1.75 GPM Multi Function Hand Shower and 24"" Slide Bar",Grohe
Kayra Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Ara Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Ara Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Vesna Monitor 14 Series Pressure Balanced Tub and Shower Set with In2ition and Included Rough-In Valve,Delta
Universal Showering Components 1.75 GPM Single Function Hand Shower Package - Includes Slide Bar and Hose,Delta
Kayra Monitor 17 Series Dual Function Pressure Balanced Shower Only with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
"1.75 GPM Traditional Hand Shower Package with H2Okinetic Technology - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
"Siderna Hand Shower Package with Slide Bar, Hose, and Wall Supply",Brizo
Lahara Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Universal Showering Components 1.75 GPM Multi Function Shower Head with H2Okinetic Technology,Delta
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Mia Floor Mounted Tub Filler - Includes Hand Shower,Miseno
Gibson Posi-Temp Pressure Balanced Shower Trim with 1.75 GPM Single Function Showerhead and Single Lever Valve Trim - Less Rough In Valve,Moen
Linden Monitor 17 Series Dual Function Pressure Balanced Shower Only with In2ition Shower Head and Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Floor Mounted Tub Filler for Free Standing Tub with Personal Hand Shower,Delta
"Tempesta Cosmopolitan 1.75 GPM Multi Function Shower Head with DreamSpray, SpeedClean, and EcoJoy Technology",Grohe
"Monitor 17 Series Pressure Balanced Tub and Shower System with Volume Control, Shower Head, Hand Shower, and Slide Bar - Includes Rough-In Valves",Delta
Universal Showering 1.75 GPM Multi Function Shower Head with H2Okinetic and Touch-Clean® Technologies - Limited Lifetime Warranty,Delta
Linden Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Purist 1.75 GPM Multi Function Shower Head with MasterClean and Katalyst Air-Induction Spray Technology,Kohler
Raindance Select S 1.75 GPM Multi Function Hand Shower with PowderRain Technology,Hansgrohe
"Universal Showering Components 1.75 GPM Multi Function Hand Shower Package - Includes Slide Bar, Hose, and Wall Supply",Delta
Universal Showering Components 1.75 GPM Multi Function Hand Shower Package - Includes Slide Bar and Hose,Delta
Rain Shower Trim Package with TempAssure Technology from the Siderna Collection,Brizo
Artifacts 1.75 GPM Single Function Shower Head with MasterClean Sprayface and Katalyst Air-Induction Technology,Kohler
Universal Showering 1.75 GPM Multi Function Shower Head with H2Okinetic and Touch-Clean® Technologies - Limited Lifetime Warranty,Delta
Contempra Single Handle Shower Trim Package with Single Function Rain Shower Head,Pfister
"Grohtherm 1.8 GPM Rain Shower Head with EcoJoy, DreamSpray, and SpeedClean",Grohe
Awaken G90 1.75 GPM Multi Function Hand Shower Package - Includes Slide Bar and Hose,Kohler
Kayra Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Ara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Lahara Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with Integrated Volume Control - Less Rough-In Valve,Delta
Kayra Monitor 17 Series Dual Function Pressure Balanced Valve Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Mia Floor Mounted Tub Filler - Includes Hand Shower,Miseno
Artifacts 1.75 GPM Single Function Hand Shower with MasterClean Sprayface,Kohler
Free Standing Tub Filler with Built-In Diverter - Includes Hand Shower,Jacuzzi
Woodhurst Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
"1.75 GPM Multi Function Handshower Package with Slide Bar, Hose, Holder and ActivTouch Technology - ADA Compliant - Limited Lifetime Warranty",Delta
"1.75 GPM Hand Shower Package - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
"Hardware Cooper Pressure Balanced Shower System with Single Function Shower Head, Hand Shower, Slide Bar, Hose, and Valve Trim",Signature
Tempered Shower Only Trim Package with 1.75 GPM Single Function Shower Head - Less Rough In,Kohler
Stryke Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Kenzo Faucet Valve Trim Single Handle Pressure Balanced with Raincan Shower Head,Pfister
"Sena 1.75 GPM Single Function Hand Shower with DreamSpray, SpeedClean, and EcoJoy Technology",Grohe
Universal Showering 1.75 GPM Universal Multi Function Shower Head with H2Okinetic Technology - Limited Lifetime Warranty,Delta
Engage 1.75 (GPM) Multi-Function Hand Shower Package with Magnetix - Includes Hose and Bracket,Moen
"1.75 GPM 12"" Single Function Rain Shower Head",Delta
"Hardware 12"" Beveled Square Single Function Rain Shower Head",Signature
Brantford Pressure Balanced Shower Trim Package with Single Function Rain Shower Head - Less Valve,Moen
Nicoli Single Function Pressure Balanced Shower Only with Included Rough-In Valve,Delta
Zura 1.75 GPM Multi Function Hand Shower Package with Touch-Clean and H2Okinetic® Technologies - Includes Hose and Mounting Bracket,Delta
Vero Monitor 14 Series Single Function 1.75 GPM Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Woodhurst Monitor 14 Series Single Function Pressure Balanced Tub and Shower - Less Rough-In Valve,Delta
Linden Monitor 17 Series Dual Function Pressure Balanced Shower Only with In2ition Shower Head and Integrated Volume Control - Less Rough-In Valve,Delta
Lahara Monitor 14 Series Tub and Shower Trim Package with 1.75 GPM Multi Function Shower Head,Delta
Pivotal Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
"1.75 GPM Multi Function Handshower with H2Okinetic Technology Hose, and Limited Lifetime Warranty",Delta
"Tenet Shower Column with Shower Head, Shower Arm, Hose, and Slide Bar",Pfister
Elysa 1.8 GPM Single Function Hand Shower,Miseno
Contento Floor Mounted Tub Filler with Built-In Diverter - Includes Hand Shower,Jacuzzi
1.8 GPM Single Function Hand Shower,Grohe
"1.75 GPM Zura 1-1/2"" Wide Multi Function Hand Shower Only with Touch-Clean® and H2Okinetic Technology - Limited Lifetime Warranty",Delta
Purist 1.75 GPM Multi Function Hand Shower with MasterClean and Katalyst,Kohler
Litze 1.75 GPM Multi Function Shower Head with H2Okinetic Technology,Brizo
Universal Showering Components 1.75 GPM Multi Function Round Shower Head,Delta
Linden Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with In2ition and Integrated Volume Control - Less Rough-In Valve,Delta
Trinsic Deck Mounted Roman Tub Filler - Includes Hand Shower,Delta
Kenzo Faucet Valve Trim Single Handle Pressure Balanced with Raincan Shower Head,Pfister
Universal Showering 1.75 GPM Multi Function Shower Head with Touch-Clean and H2Okinetic Technology,Delta
Cassidy Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Universal Showering 1.75 GPM Single Function Rain Shower Head with Touch-Clean and H2Okinetic Technology,Delta
Tempesta Cosmopolitan 1.75 GPM Multi Function Hand Shower,Grohe
Wetherly Tub and Shower Trim Package with 1.75 GPM Single Function Shower Head,Moen
Litze 1.75 GPM Multi Function Shower Head with H2Okinetic Technology,Brizo
"Universal Showering In2ition 1.75 GPM Multi Function Shower Head with Touch-Clean, MagnaTite, and H2Okinetic Technology",Delta
Ara Tempassure 17T Series Dual Function Thermostatic Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Linden Monitor 14 Series Single Function Pressure Balanced Shower Only - Less Rough-In Valve,Delta
Eva Pressure Balanced Shower Trim Package with Single Function Rain Shower Head - Less Valve,Moen
"Odin 1.75 GPM Single Function Hand Shower Package - Includes Slide Bar, Hose, and Wall Supply",Brizo
Stryke Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
"Rainshower Mono 1.75 GPM Single Function Shower Head with DreamSpray, SpeedClean, and EcoJoy Technology",Grohe
"Virage 1.75 GPM Hand Shower Package with Slide Bar, Hose, and Wall Supply",Brizo
Ara Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with Integrated Volume Control - Less Rough-In Valve,Delta
1.8 GPM Single Function Rain Shower Head,Miseno
Raindance S 1.75 GPM 3-Jet Shower Head with AirPower - Limited Lifetime Warranty,Hansgrohe
Ashlyn Monitor 17 Series Dual Function Pressure Balanced Tub and Shower with Integrated Volume Control - Less Rough-In Valve,Delta
Vero Monitor 17 Series Dual Function 1.75 GPM Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
"Pivotal Pressure Balanced Shower System with Shower Head, Shower Arm, Hand Shower, Slide Bar, Hose, Valve Trim and MultiChoice Rough-In",Delta
Dryden Monitor 17 Series Dual Function 1.75 GPM Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Tenet Shower Only Trim Package with 1.8 GPM Single Function Shower Head and SecurePfit Technology,Pfister
In2ition 1.75 GPM In2ition 2-in-1 Multi Function Shower Head and Handshower with H2Okinetic Technology and Touch-Clean® Technologies,Delta
Cia Shower Only Trim Package with 1.75 GPM Single Function Shower Head,Moen
1.8 GPM Single Function Rain Shower Head,Miseno
Universal Showering Components 1.75 GPM Multi Function Rain Shower Head with Touch-Clean and H2Okinetic Technology,Delta
Bowery Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,Delta
Universal Showering Components 1.75 GPM Single Function Hand Shower Package - Includes Wall Holder and Hose,Delta
"1.75 GPM 4-15/16"" Wide Multi Function Shower Head with Touch-Clean® Technology - Limited Lifetime Warranty",Delta
Bella 1.8 GPM Multi Function Hand Shower,Miseno
Universal Showering Components 1.75 GPM Multi Function Shower Head,Delta
Devonshire 1.75 GPM Single Function Shower Head with MasterClean Sprayface and Katalyst Air-Induction Technology,Kohler
Litze Shower Only Trim Package with 1.75 GPM Multi Function Shower Head with H2Okinetic and TempAssure Technology- Less Handles and Rough-In,Brizo
"1.75 GPM Hand Shower Package with H2Okinetic and Touch-Clean® Technologies - Includes Hand Shower, Slide Bar, Hose, and Limited Lifetime Warranty",Delta
"Odin 1.75 GPM Single Function Hand Shower Package - Includes Hose, and Wall Supply",Brizo
Hint Deck Mounted Roman Tub Filler with Built-In Diverter - Includes Hand Shower,Kohler
1.8 GPM Single Function Shower Head,Miseno
Eva Tub and Shower Trim Package with Single Function Shower Head,Moen
"Rainshower 1.75 GPM Multi Function Hand Shower with StarLight, DreamSpray, EcoSpray and Speed Clean",Grohe
"Universal Showering 1.75 GPM 12"" Single Function Rain Shower Head",Delta
Universal Showering Components 1.75 GPM Multi Function Hand Shower,Delta
Universal Showering 1.75 GPM Single Function Rain Shower Head with Touch-Clean and H2Okinetic Technology,Delta
Tempered Shower Only Trim Package with 1.75 GPM Single Function Shower Head - Less Rough In,Kohler
HydroRain Universal Showering 1.75 GPM Multi Function Shower Head with Hand Shower,Delta
Universal Showering 1.75 GPM Multi Function Rain Shower Head with Touch-Clean and H2Okinetic Technology,Delta
Bancroft 1.75 GPM Multi-Function Shower Head,Kohler
Voss Floor Mounted Tub Filler with Riser and Built-In Diverter - Includes Hand Shower,Moen
Euphoria 1.75 GPM Multi-Function Hand Shower with SpeedClean Technology,Grohe
"Universal Showering 1.75 GPM 12"" Single Function Rain Shower Head",Delta
"Essential 1.75 GPM 8"" Single Function Metal Raincan Shower Head with Touch-Clean Technology",Brizo
Mylan Monitor 14 Series Single Function Pressure Balanced Tub and Shower with Included Rough-In Valve - Limited Lifetime Warranty,Delta
Universal Showering 1.75 GPM Multi Function Rain Shower Head with Touch-Clean and H2Okinetic Technology,Delta
"1.75 GPM 7-7/8"" Wide Cassidy Shower Head with H2Okinetic Technology - Limited Lifetime Warranty",Delta
Posi-Temp Pressure Balanced Tub and Shower Trim with 1.75 GPM Shower Head and Tub Spout from the Align Collection (Less Valve),Moen
Brantford Tub and Shower Trim Package with Single Function Shower Head - Less Valve,Moen
1.75 GPM Single Function Hand Shower Only,Moen
"1.75 GPM In2ition 2-in-1 Multi Function Shower Head and Hand Shower with 60"" Hose - Limited Lifetime Warranty",Delta
