Description,Manufacturer
Santa Rosa 1.28 GPF One-Piece Elongated Comfort Height Toilet with AquaPiston Technology - Includes Brevia Quiet-Close Grip-Tight Toilet Seat,Kohler
1.28 GPF Tank from the Wellworth Collection,Kohler
"Hardware Bradenton 1.28 GPF Two-Piece Elongated Toilet - 21"" Bowl Height, Standard Seat Included",Signature
Memoirs Stately 1.28 GPF Toilet Tank Only with AquaPiston Technology,Kohler
Drake II 1.28 GPF Toilet Tank Only - Left Hand Lever,TOTO
Aquia 0.8/1.28 GPF Dual Flush Toilet Tank Only with Dynamax Tornado Flush Technology,TOTO
1.28 Gpf Toilet Tank with Class Five Flushing Technology from the Wellworth Series,Kohler
"Standard Cadet 3 Elongated Two-Piece Toilet with Concealed Trapway, EverClean Surface, PowerWash Rim and Right Height Bowl - Includes Slow-Close Seat",American
"Highline 1.28 GPF Two Piece Elongated Tall Height (2"" higher than Comfort Height) Toilet with Left Hand Lever - Less Seat",Kohler
Irvine 1.28 GPF Toilet Tank Only with AquaPiston Technology,Kohler
Corbelle 1.28 GPF Toilet Tank Only with AquaPiston® Flushing and Left-Hand Trip Lever,Kohler
Memoirs Stately 1.28 GPF Two-Piece Elongated Comfort Height Toilet with AquaPiston Technology - Seat Not Included,Kohler
Eco UltraMax One Piece Elongated  1.28 GPF Toilet with E-Max Flush System - SoftClose Seat Included,TOTO
Nexus 1.28 GPF One Piece Elongated Chair Height Toilet with Tornado Flush Technology - Less Seat,TOTO
Drake II Two Piece Elongated 1.28 GPF Toilet with CeFiONtect and Tornado Flush Technology,TOTO
Standard Cadet Pro 1.28 GPF Toilet Tank with Performance Flushing System,American
Corbelle 1.28 GPF Comfort Height Two-Piece Elongated Toilet with Revolution 360 Flushing Technology and Left-Hand Trip Lever,Kohler
DuoFit In-Wall Tank Unit for Wall-Hung Toilets with Copper Supply Line,TOTO
"Irvine Comfort Height Two-Piece Elongated 1.28 GPF Toilet with Skirted Trapway, Revolution 360 and AquaPiston Flushing Technologies and Left-Hand Trip Lever",Kohler
Bella Two-Piece High Efficiency Toilet with Elongated Chair Height Bowl - Includes Toilet Seat and Wax Ring Kit,Miseno
San Souci 1.28 GPF Elongated One-Piece Comfort Height Toilet with AquaPiston Technology - Seat Included,Kohler
Drake 1.28 GPF Toilet Tank Only - Less Seat,TOTO
Highline 1.28 GPF Two-Piece Comfort Height Elongated Toilet - Less Seat,Kohler
Cimarron 1.28 GPF Toilet Tank Only - Left Hand Lever,Kohler
Persuade Curv 1.6 / 1.0 GPF Toilet Tank Only with Dual-Flush Technology,Kohler
"Santi Two-Piece High-Efficiency Toilet with Elongated Chair Height Bowl - Includes Soft Close Seat, Wax Ring Kit, and Classic Style Tank Lid",Miseno
"Hardware Bradenton 1.28 GPF One-Piece Skirted Elongated Toilet - ADA Compliant, Seat Included",Signature
Kathryn 1.28 GPF One-Piece Elongated Comfort Height Toilet with AquaPiston Technology - Seat Included,Kohler
Aimes 1.28 GPF One-Piece Elongated Toilet with CeFiONtect Ceramic Glaze and Toilet Seat,TOTO
Cimarron 1.28 GPF Toilet Tank with AquaPiston and Left Hand Trip Lever,Kohler
Standard Edgemere 1.28 GPF Toilet Tank Only,American
Wellworth Dual Flush Toilet Tank,Kohler
Standard Town Square S 1.28 GPF Toilet Tank Only,American
Reach 0.8 / 1.28 GPF Dual Flush One Piece Elongated Toilet with Actuator Flush - Seat Included,Kohler
Persuade Curv 1.6 / 1.0 GPF Two Piece Elongated Comfort Height Toilet,Kohler
Entrada 1.28 GPF Toilet Tank - Left Hand Lever,TOTO
"Devonshire 1.28 GPF Comfort Height Elongated Bowl with 12"" Rough-In",Kohler
Aquia IV 1.28 / 0.8 GPF Dual Flush One-Piece Elongated Chair Height Toilet - Includes Seat,TOTO
Elongated Comfort Height Two Piece Toilet with Left Hand Trip Lever (Less Toilet Seat) from the Highline Collection,Kohler
Adair 1.28 GPF One-Piece Elongated Comfort Height Toilet with AquaPiston Technology - Seat Included,Kohler
Memoirs Stately 1.28 GPF Two-Piece Round Comfort Height Toilet with AquaPiston Technology - Seat Not Included,Kohler
Eco UltraMax One Piece Elongated 1.28 GPF Toilet with E-Max Flush System and CeFiONtect - SoftClose Seat Included,TOTO
San Souci 1.28 GPF One-Piece Round-Front Toilet with AquaPiston Technology - Seat Included,Kohler
Devonshire 1.28 GPF Toilet Tank Only with AquaPiston Technology,Kohler
UltraMax II 1.28 GPF One Piece Toilet,TOTO
Archer 1.28 GPF Toilet Tank Only with AquaPiston Technology,Kohler
Mia One-Piece High Efficiency Toilet with Elongated Chair Height Bowl - Includes Soft Close Seat and Wax Ring Kit,Miseno
Standard H2Optimum Tank-Only for Two-Piece Toilets,American
Standard Estate 1.28 GPF Toilet Tank Only for Two-Piece,American
Standard Studio Toilet Tank with Performance Flushing System,American
Promenade II One-Piece Elongated 1.28 GPF Toilet with Tornado Flush™ Technology,TOTO
Devonshire 1.28 GPF Two-Piece Elongated Comfort Height Toilet with AquaPiston Technology - Seat Not Included,Kohler
Aquia Dual Flush 1.28 / .8 GPF Floor Mounted Elongated Toilet - Less Toilet Seat,TOTO
Standard H2Optimum Tank-Only for Two-Piece Toilets,American
Standard H2Option Tank-Only Dual Flush Toilet with EverClean Surface for Two Piece Toilets,American
Hardware Carraway 1.28 GPF Two Piece Elongated Skirted Chair Height Toilet - Seat Included,Signature
Standard Cadet 3 Elongated Compact One-Piece Toilet with EverClean Surface and Right Height Bowl - Includes Slow-Close Seat,American
Mia One-Piece High Efficiency Toilet with Elongated Chair Height Bowl - Includes Soft Close Seat and Wax Ring Kit,Miseno
Hardware Sitka 1.28 GPF One Piece Elongated Skirted Chair Height Toilet - Seat Included,Signature
Standard Glenwall 1.28 GPF Toilet Tank Only,American
